PARTIDO;NIVEL ;DEPARTAMENTO;HOJA;CANDIDATO;MEDIO;DESCRIPCIÓN DEL GASTO;MONTO
Frente Amplio;Diputados;Montevideo;906;Enrique Saravia;MATERIALES;Caribu;150000
Frente Amplio;Diputados;Montevideo;906;Enrique Saravia;MATERIALES;Goldfarb S.A;125000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - CONTRIB. SAN JOSE - MEDIOS;190981
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. ARTIGAS;141700
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. COLONIA;450000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. DURAZNO;81000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. FLORES;65000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. FLORIDA;150000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. LAVALLEJA;35000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. MALDONADO;750000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. PAYSANDU;225000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. RIO NEGRO;95000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. RIVERA;200000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. ROCHA;125000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. SALTO;175000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. TACUAREMBO;101428
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;Medios Interior;22/10/2014 - TRANSF. TREINTA Y TRES;60000
