PARTIDO;NIVEL ;DEPARTAMENTO;HOJA;CANDIDATO;MEDIO;DESCRIPCIÓN DEL GASTO;MONTO
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;11/09/2014 - DRK PACKAGING;420411,02
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;18/09/2014 - IMPRIMEX;1680000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;19/09/2014 - MAYNER;17934
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;26/09/2014 - GRIFELMAN SA;621590
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;26/09/2014 - GRIFELMAN SA;22326
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;26/09/2014 - MAYNER;59536
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;26/09/2014 - GRIFELMAN SA;9272
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;26/09/2014 - IMPRIMEX;870000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;02/10/2014 - GALLERY;107360
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;02/10/2014 - GRIFELMAN SA;178364
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;03/10/2014 - 4TINTAS;9493
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;03/10/2014 - MAYNER;62952
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;08/10/2014 - UROBOROS;18644
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;10/10/2014 - MAYNER;47580
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;16/10/2014 - MAYNER;59048
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;17/10/2014 - 4 TINTAS;9492
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;24/10/2014 - MAYNER -FALINER;17080
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;27/10/2014 - FAMET;460977
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;30/10/2014 - GRIFELMAN SA;103517
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;30/10/2014 - UROBOROS;30795
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;30/10/2014 - REINTEGRO;-2318000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;07/11/2014 - GRIFELMAN  SA;21838
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;11/11/2014 - GALLERY;244000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;19/11/2014 - 4 TINTAS - NEVOTECH;53534
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;08/12/2014 - Reasignación balotaje;-934573,23
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;02/10/2014 - EL GALPON;20000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;03/10/2014 - CARTELES. COM;17080
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;09/10/2014 - ERSOUN SA;229000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;09/10/2014 - A. OTTONELLO;229000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;10/10/2014 - WORLDWIDE - GURISA;10086,99
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;14/10/2014 - LIQ. P. T. - GIRA;21490
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;15/10/2014 - AUDEM;12000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;29/10/2014 - PHOENA /HAVAS;2843
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;29/10/2014 - PHOENA HAVAS;6545,05
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;30/10/2014 - VIDEOTIME LTDA.;29280
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;03/11/2014 - LIVE U;83814
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;06/11/2014 - URUSTREAM - LIVE U;1592466
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;13/11/2014 - A. OTTONELLO;474831,04
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;13/11/2014 - EROSUN SA;2257482
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;13/11/2014 - A. OTTONELLO;2145730
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;08/12/2014 - Reasignación balotaje;-4630038,08
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;PRODUCCION;16/12/2014 - Ottonello - Rec. 669;431880
Nacional;Diputados;Montevideo;71;Gustavo Penadés;PRODUCCION;CQ REALIZACIONES HD;3050
Nacional;Diputados;Montevideo;71;Gustavo Penadés;REMERAS;EXPOCEL SA;1020
Nacional;Senado;;;Jorge Larrañaga;TV;MINUTOS CONTRATADOS;19704370
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;TV;Visión Canaria; 12.000,00 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;TV;Tala Visión TV; 18.000,00 
Nacional;Diputados;Montevideo;71;Gustavo Penadés;TV;CANAL 10;742950
Nacional;Diputados;Montevideo;71;Gustavo Penadés;TV;CANAL 10;243320
Nacional;Diputados;Montevideo;71;Gustavo Penadés;TV;CANAL 12;1542885
Nacional;Diputados;Montevideo;71;Gustavo Penadés;TV;CANAL 4;1065034
Nacional;Diputados;Montevideo;71;Gustavo Penadés;TV;CANAL 4;1506822
Independiente;Presidencia;;;Pablo Mieres- Conrado Ramos;TV;Publicidad televisiva;7.666.530
Colorado;Presidencia;;;Pedro Bordaberry- Germán Coutinho;TV;Minutos contratados;4.481.103 
Colorado;Senado;;;José Amorín;TV;Publicidad televisiva;4915461
Colorado;Senado;;;Pedro Bordaberry;TV;Minutos contratados;8698612
Colorado;Diputados;Canelones;10;Graciela Matiaude;TV;Publicidad en Tandas;107000
Colorado;Diputados;Canelones;1015;Daniela Barindelli;TV;Publicidad televisiva;85000
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - Teledoce;8174000
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - Red Uruguaya;239803
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - Canal 11;337560
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - Canal 4;6089050
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - Canal 7;256200
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - Canal 10;5368060
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - VTV;1586000
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;TV;Publicidad televisiva - Bonecar SA;48800
Nacional;Senado;;;Alem García;TV;Monte Carlo S.A. (radio);43000
Nacional;Senado;;;Alem García;TV;Monte Carlo TV S.A.;64050
Nacional;Senado;;;Alem García;TV;Sociedad Televisora Larrañaga S.A. Canal 12;75335
Nacional;Senado;;;Alvaro Germano;TV;PUBLICIDAD TELEVISION(EXCLUSIVO CANAL 10) PUBLICIDAD 30 MINUTOS;601460
Nacional;Senado;;;Sergio Abreu;TV;PUBLICIDAD TV;3355195
Nacional;Diputados;Montevideo;504504;Alem García;TV;Monte Carlo S.A. (radio);21500
Nacional;Diputados;Montevideo;504504;Alem García;TV;Monte Carlo TV S.A.;32025
Nacional;Diputados;Montevideo;504504;Alem García;TV;Sociedad Televisora Larrañaga S.A. Canal 12;37667
Nacional;Diputados;Montevideo;2014;Verónica Alonso;TV;Publicidad Televisiva ;4172998
Nacional;Diputados;Montevideo;40;Javier García;TV;TV;4396506
Nacional;Diputados;Montevideo;404;Alvaro Delgado;TV;Publicidad Televisiva;4600909
Nacional;Diputados;Montevideo;767;Alfredo Oliú;TV;TELEVISION;927200
Nacional;Diputados;Montevideo;767;Alfredo Oliú;TV;TELEVISION;854000
Nacional;Diputados;Canelones;903;Javier Radiccioni;TV;televisiva 600 seg central 300seg lateral;297655,6
Nacional;Diputados;Canelones;3504;Alem García;TV;Monte Carlo TV S.A.;32025
Nacional;Diputados;Canelones;3504;Alem García;TV;Sociedad Televisora Larrañaga S.A. Canal 12;37667
Frente Amplio;Senado;;;José Mujica;TV;TV y Cables locales;8800967
Frente Amplio;Senado;;;Darío Pérez;TV;PUB. VTV;109800
Frente Amplio;Senado;;;Danilo Astori;TV;Publicidad televisiva (x minutos en xx horario);8336538
Frente Amplio;Senado;;;Nora Castro;TV;Publicidad televisiva - Canal 10;54798,5
Frente Amplio;Senado;;;Constanza Moreira- Beramendi;TV;Publicidad televisiva;1493367
Frente Amplio;Senado;;;Eduardo Brenta;TV;(100 minutos en horario central mas 25 % bonif. lateral) Servicio contratado via Agencia;4684800
Frente Amplio;Diputados;Montevideo;609;Alejandro Sánchez;TV;TV y Cables locales;6515422
Frente Amplio;Diputados;Montevideo;90;Gonzalo Civila;TV;Canales ;2891280,25
Frente Amplio;Diputados;Montevideo;2121;Carlos Varela;TV;Publicidad televisiva;7242042
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;TV;Canal 10;92516
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;TV;teledoce ;665735
Frente Amplio;Diputados;Montevideo;6009;Victor Semproni;TV;Canal 6;12900
Frente Amplio;Diputados;Montevideo;1642;Christian Di Candia;TV;Publicidad televisiva ;182450
Frente Amplio;Diputados;Montevideo;99738;Fernando Lorenzo;TV;Publicidad Televisión;4305184
Frente Amplio;Diputados;Montevideo;764;Pablo Alvarez;TV;Publicidad televisiva - Canal 10;54798,5
Frente Amplio;Diputados;Montevideo;642;José Pablo Oliveras;TV;Publicidad televisiva 100 segundos centrales y 50 laterales;49816,66
Frente Amplio;Diputados;Canelones;764;Danisa Rodriguez;TV;Publicidad televisiva - Canal 11;6000
Frente Amplio;Diputados;Canelones;90;Raúl Olivera;TV;Canales de aire;1048360,32
Frente Amplio;Diputados;Canelones;99738;Horacio Yanes;TV;Publicidad TV;39167
Frente Amplio;Diputados;Canelones;609;Sebastián Sabini;TV;TV y Cables locales;2516845
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;TV;PUBLICIDAD TV CABLE;5500
Frente Amplio;Diputados;Canelones;775005;Leonardo Herou;TV;Campaña TV;100000
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;TV;Alexis Torres - Canal Cable Sauce;18000
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;TV;Oliver Gialco - Tala Vison;18000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;TV;10/10/2014 - RED URU. DE TV.;2318000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;TV;24/10/2014 - CANAL 10;20496000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;TV;27/10/2014 - TELEDOCE;21960000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;TV;29/10/2014 - RED URUGUAYA DE TELEVISION;2318000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;TV;29/10/2014 - MONTE CARLO TV SA;11712000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;TV;29/10/2014 - VTV - SAOMIL SA;5084716
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;TV;08/12/2014 - Reasignación balotaje;-27706716
Colorado;Diputados;Montevideo;15;José Amorín;TV Y ORAL;Publicidad televisiva y radial;198919
Frente Amplio;Senado;;;Raúl Sendic;TV Y ORAL;television y radio;8505844,04
Nacional;Diputados;Montevideo;71;Gustavo Penadés;VIA PUBLICA;CBS;1025574
Nacional;Senado;;;Jorge Larrañaga;VIA PUBLICA;CARTELERÍA VÍA PUBLICA CONTRATADA;7065722
Independiente;Presidencia;;;Pablo Mieres- Conrado Ramos;VIA PUBLICA;Publicidad en via pública;2.631.831
Colorado;Presidencia;;;Pedro Bordaberry- Germán Coutinho;VIA PUBLICA;Carteles, Pasacalles, Camiones, Columneras, Etc.;2.613.750 
Colorado;Senado;;;José Amorín;VIA PUBLICA;Publicidad en Via Pública;137716
Colorado;Senado;;;Pedro Bordaberry;VIA PUBLICA;Carteles, Pasacalles, Camiones, Columneras, Etc.;5073751
Colorado;Diputados;Montevideo;15;José Amorín;VIA PUBLICA;Publicidad en Via Pública;634225
Colorado;Diputados;Canelones;1015;Daniela Barindelli;VIA PUBLICA;Publicidad en Via Pública;250125
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;VIA PUBLICA;Publicidad vía pública - CBS;1763163
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;VIA PUBLICA;Publicidad vía pública - Publicartel;4183503,62
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;VIA PUBLICA;Publicidad vía pública - Film Suez;145463,04
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;VIA PUBLICA;Publicidad vía pública - OMI;3327909
Nacional;Presidencia;;;Luis Lacalle Pou- Jorge Larrañaga;VIA PUBLICA;Publicidad vía pública - NETCOM;3073404,4
Nacional;Senado;;;Sergio Abreu;VIA PUBLICA;PUBLICARTEL ;702733,5
Nacional;Diputados;Montevideo;2014;Verónica Alonso;VIA PUBLICA;Publicidad Vía Pública;174482
Nacional;Diputados;Montevideo;40;Javier García;VIA PUBLICA;PUBLICIDAD EN LA VIA PUBLICA;191050
Nacional;Diputados;Montevideo;404;Alvaro Delgado;VIA PUBLICA;Publicidad en Vía Publica;1945387
Nacional;Diputados;Montevideo;404;Alvaro Delgado;VIA PUBLICA;Publicida Columnera y balconeras;59950
Nacional;Diputados;Montevideo;404;Alvaro Delgado;VIA PUBLICA;Publicidad de Promotores;209956
Nacional;Diputados;Montevideo;404;Alvaro Delgado;VIA PUBLICA;Publiciadad en Folleteía y stichers;143912
Nacional;Diputados;Montevideo;33;Francisco Gallinal;VIA PUBLICA;Publicidad en via publica;64444
Nacional;Diputados;Montevideo;903;Daniel Quiró;VIA PUBLICA;MATERIAL PUBLICITARIO;20079
Nacional;Diputados;Montevideo;903;Daniel Quiró;VIA PUBLICA;CARTELERIA;4762
Nacional;Diputados;Canelones;45;Walker Amarillo;VIA PUBLICA;Publicidad en via publica;14220
Nacional;Diputados;Canelones;400;Amín Niffouri;VIA PUBLICA;Publicidad en Vía Publica;611121
Nacional;Diputados;Canelones;2014;Daniel Peña;VIA PUBLICA;Publicidad en via publica;814200
Nacional;Diputados;Canelones;2014;Daniel Peña;VIA PUBLICA;Publicidad carretera;1380000
Frente Amplio;Senado;;;José Mujica;VIA PUBLICA;Carteles banderas y otros;1605855
Frente Amplio;Senado;;;Daniel Martinez;VIA PUBLICA;Publicidad en via pública;36065
Frente Amplio;Senado;;;Darío Pérez;VIA PUBLICA;CARTELERÍA;410000
Frente Amplio;Senado;;;Darío Pérez;VIA PUBLICA;PLASTILLERA;28500
Frente Amplio;Senado;;;Darío Pérez;VIA PUBLICA;BANDERAS MESA;12000
Frente Amplio;Senado;;;Darío Pérez;VIA PUBLICA;PINTURA;12300
Frente Amplio;Senado;;;Danilo Astori;VIA PUBLICA;Publicidad en vía pública;180122
Frente Amplio;Senado;;;Nora Castro;VIA PUBLICA;Publicidad en vía pública;15714
Frente Amplio;Senado;;;Constanza Moreira- Beramendi;VIA PUBLICA;Publicidad en vía pública;36660
Frente Amplio;Senado;;;Marcos Carámbula;VIA PUBLICA;CARTELERIA CALLEJERA;911000
Frente Amplio;Senado;;;Eduardo Brenta;VIA PUBLICA;Publicartel;480000
Frente Amplio;Senado;;;Darío Raúl Estades;VIA PUBLICA;Publicidad;5000
Frente Amplio;Senado;;;Eleuterio Fernandez Huidobro;VIA PUBLICA;Publicidad en vía pública(columneras);13520
Frente Amplio;Diputados;Montevideo;609;Alejandro Sánchez;VIA PUBLICA;Carteles banderas y otros;1718235
Frente Amplio;Diputados;Montevideo;90;Gonzalo Civila;VIA PUBLICA;Cartelería;296910,4
Frente Amplio;Diputados;Montevideo;2121;Carlos Varela;VIA PUBLICA;Propaganda en vía pública muros;82500
Frente Amplio;Diputados;Montevideo;2121;Carlos Varela;VIA PUBLICA;Complementos apoyo propaganda vía pública;13408
Frente Amplio;Diputados;Montevideo;611;Diego Olivera;VIA PUBLICA;Cartelería, pasacalles, etc.;25000
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;VIA PUBLICA;pampin;147000
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;VIA PUBLICA;perlyna;206485
Frente Amplio;Diputados;Montevideo;3311;Luis Puig;VIA PUBLICA;mastergraf srl;84991
Frente Amplio;Diputados;Montevideo;6009;Victor Semproni;VIA PUBLICA;Pasac./Balc/Pegot/Mesas;353252
Frente Amplio;Diputados;Montevideo;775005;José Bayardi;VIA PUBLICA;Muros Brigada barrial;80500
Frente Amplio;Diputados;Montevideo;775005;José Bayardi;VIA PUBLICA;Pasacalles Confección y olocación;127000
Frente Amplio;Diputados;Montevideo;775005;José Bayardi;VIA PUBLICA;Vía pública formal via Agencia;250000
Frente Amplio;Diputados;Montevideo;775005;José Bayardi;VIA PUBLICA;Pegatina Brigada barrial;62500
Frente Amplio;Diputados;Montevideo;775005;José Bayardi;VIA PUBLICA;Coches parlante servicio a cantones barriales;19000
Frente Amplio;Diputados;Montevideo;1303;Gonzalo Reboledo;VIA PUBLICA;Publicidad en Banderas;5563,2
Frente Amplio;Diputados;Montevideo;1303;Gonzalo Reboledo;VIA PUBLICA;Balconeras;41724
Frente Amplio;Diputados;Montevideo;99738;Fernando Lorenzo;VIA PUBLICA;Publicidad Vía Pública (Carteles);147620
Frente Amplio;Diputados;Montevideo;1813800;José Antonio Maldonado;VIA PUBLICA;Publicidad vía pública ;23267
Frente Amplio;Diputados;Montevideo;1813800;José Antonio Maldonado;VIA PUBLICA;Publicidad vía pública ;7509
Frente Amplio;Diputados;Montevideo;1813800;José Antonio Maldonado;VIA PUBLICA;Publicidad vía pública ;60000
Frente Amplio;Diputados;Montevideo;764;Pablo Alvarez;VIA PUBLICA;Publicidad en vía pública;15714
Frente Amplio;Diputados;Canelones;90;Raúl Olivera;VIA PUBLICA;Pintada de muros;18325
Frente Amplio;Diputados;Canelones;90;Raúl Olivera;VIA PUBLICA;Cartelería, volantes, etc.;140160
Frente Amplio;Diputados;Canelones;99738;Horacio Yanes;VIA PUBLICA;Perifoneo – Publicidad vía publica;6000
Frente Amplio;Diputados;Canelones;99738;Horacio Yanes;VIA PUBLICA;Banderas, pasacalles y banderines;225535
Frente Amplio;Diputados;Canelones;609;Sebastián Sabini;VIA PUBLICA;Carteles banderas y otros;426944
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;CARTELERÍA;60000
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;FOLLETOS Y PEGOTINES;15000
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;BANDERAS;1750
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;BANDERAS;420
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;GORROS 3 COLORES;444
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;GLOBOS 3 COLORES;445
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;BANDERAS;1830
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;TELAS ACROCEL;1137
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;CARTEL LONA;3500
Frente Amplio;Diputados;Canelones;1813;José Luis Devitta;VIA PUBLICA;CARTEL LONA;3000
Frente Amplio;Diputados;Canelones;775005;Leonardo Herou;VIA PUBLICA;Carteles Via Públic;275200
Frente Amplio;Diputados;Canelones;775005;Leonardo Herou;VIA PUBLICA;Mesitas Vía Pública;115300
Frente Amplio;Diputados;Canelones;775005;Leonardo Herou;VIA PUBLICA;Propaganta rodante y banderas;21900
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;VIA PUBLICA;Pub rodante Canelones;3696
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;VIA PUBLICA;Rodante Las Piedras;4480
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;VIA PUBLICA;Rodante La Paz y Las Piedras;4562
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;VIA PUBLICA;Diego Sosa;10370
Frente Amplio;Diputados;Canelones;3311;Valeria Rubino;VIA PUBLICA;Hugo - Martin Lopez;20000
Frente Amplio;Diputados;Canelones;848959;Nestor Llorca;VIA PUBLICA;Gastos de Publicidad (Folletos);5000
Frente Amplio;Diputados;Canelones;848959;Nestor Llorca;VIA PUBLICA;Publicidad via oral ( Rodante);15000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;07/08/2014 - SATENIL  - REC. 4128;3315399,25
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;07/08/2014 - MOVIMAGEN - REC. 2455;1946500
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;18/08/2014 - OMI - 360.COM;2475000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;12/09/2014 - GALAFOX SA;59100
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;16/09/2014 - PUBLICARTE - REC. 79590;4290727,2
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;16/09/2014 - PUBLICARTE - REC. 79591;1874823
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;03/10/2014 - PIROLUX;59100
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;30/10/2014 - GALAFOX SA;59100
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;12/11/2014 - CBS;1991716
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;28/11/2014 - MOVIMAGEN;274622
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;VIA PUBLICA;08/12/2014 - Reasignación balotaje;-4254887,45
Nacional;Senado;;;Jorge Larrañaga;WEB;IMPRESIONES CONTRATADAS;1002840
Nacional;Senado;;;Jorge Larrañaga;WEB;GOOGLE, FACEBOOK, TWITTER;679238
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;WEB;Facebook; 21.274,81 
Frente Amplio;Diputados;Canelones;2121;José Carlos Mahía;WEB;Facebook; 1.167,14 
Independiente;Presidencia;;;Pablo Mieres- Conrado Ramos;WEB;Publicidad web;580.989
Colorado;Presidencia;;;Pedro Bordaberry- Germán Coutinho;WEB;Espacios en redes;412.420 
Colorado;Senado;;;Pedro Bordaberry;WEB;Espacios en redes;800580
Nacional;Diputados;Montevideo;404;Alvaro Delgado;WEB;Publicida Digital;216425
Nacional;Diputados;Canelones;1404;Fernando Crosa;WEB;Pagina Web;10000
Frente Amplio;Senado;;;Raúl Sendic;WEB;internet;1178553
Frente Amplio;Senado;;;Danilo Astori;WEB;Publicidad Digital;253791,72
Frente Amplio;Senado;;;Constanza Moreira- Beramendi;WEB;Diseño y edición internet;145944
Frente Amplio;Diputados;Montevideo;329;Macarena Gelman;WEB;PUBLICIDAD INTERNET;29280
Frente Amplio;Diputados;Montevideo;99738;Fernando Lorenzo;WEB;Internet y Redes Sociales;504348
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;29/08/2014 - MONTEVIDEO.COMM;280600
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;05/09/2014 - EL PAIS - REC. 505616;561200
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;18/09/2014 - MPG - FACEBOOK;1536590
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;26/09/2014 - OBSERVA.COM.UY;280600
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;10/10/2014 - REGNODESIGN;45412
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;10/10/2014 - GRUPO 180.COM.UY;112240
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;13/10/2014 - CRONICAS;183000
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;28/10/2014 - MONTEVIDEO.COMM;219600
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;29/10/2014 - MPG;321287
Frente Amplio;Presidencia;;;Tabaré Vázquez- Raúl Sendic;WEB;08/12/2014 - Reasignación balotaje;-1696621
Nacional;Diputados;Montevideo;903;Daniel Quiró;;PUBLICIDAD;636380
Frente Amplio;Senado;;;Marcos Carámbula;;EMPRESA PUBLICIDAD, TV,RADIO,DIARIOS ETC;4736518
Frente Amplio;Diputados;Montevideo;609;Alejandro Sánchez;;Balconeras, internet;566628
Frente Amplio;Diputados;Montevideo;1642;Christian Di Candia;;Otro tipo de Puiblicidad (web, via publica, etc);154047
Frente Amplio;Diputados;Canelones;609;Sebastián Sabini;;Balconeras, internet;348953
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
