 PARTIDO ; DEPARTAMENTO ; NIVEL ; HOJA ; CANDIDATO_1 ; INGRESOS_TOT ; INGRESOS_NET ; FIN_PUB ; FIN_INT ; CES_FON ; FIN_PRIV ; VOTOS ; BANCAS ; PERSONAS ; EMPRESAS ; ANONIMA ; CANDIDATOS ; OTROS ; EGRESOS_TOT ; EGRESOS_NET ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 3.311 ; VALERIA RUBINO ; 534.739 ; 328.575 ; 499.739 ; 35.000 ; 206.164 ; -   ; 4.897 ; -   ; -   ; -   ; -   ; -   ; -   ; 517.250 ; 311.086 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 6.009 ; VÍCTOR SEMPRONI ; 1.493.589 ; 1.493.589 ; 1.493.589 ; -   ; -   ; -   ; 5.854 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 7.373 ; AUREL CESAR LARRAÑAGA NAYA ; 199.618 ; -   ; 199.618 ; -   ; 199.618 ; -   ; 1.932 ; -   ; -   ; -   ; -   ; -   ; -   ; 199.618 ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 9.393 ; ALEJANDRO CATUCCI ; 36.000 ; -   ; 36.000 ; -   ; 36.000 ; -   ; 364 ; -   ; -   ; -   ; -   ; -   ; -   ; 36.000 ; -   ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 99.738 ; HORACIO YANES ; 1.284.000 ; 971.000 ; 763.000 ; 521.000 ; 313.000 ; -   ; 7.484 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.165.572 ; 852.572 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 181.563 ; CHEVALIER GABRIEL ; 85.963 ; 1 ; 85.963 ; -   ; 85.962 ; -   ; 832 ; -   ; -   ; -   ; -   ; -   ; -   ; 85.963 ; 1 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 775.005 ; LEONARDO HEROU ; 710.580 ; 710.580 ; 540.580 ; 60.000 ; -   ; 109.000 ; 5.232 ; -   ; -   ; -   ; -   ; -   ; 109.000 ; 753.000 ; 753.000 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 848.959 ; NESTOR LLORCA ; 221.600 ; 221.600 ; 139.200 ; 82.400 ; -   ; -   ; 956 ; -   ; -   ; -   ; -   ; -   ; -   ; 40.000 ; 40.000 ;;
 FRENTE AMPLIO ; CANELONES ; REPRESENTANTES ; 10.017.373 ; JUAN CASTILLO ; 1.269.624 ; -   ; 1.269.624 ; -   ; 1.269.624 ; -   ; 12.288 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.269.624 ; -   ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 90 ; YERÚ PARDIÑAS ; 2.435.062 ; 1.462.241 ; 1.835.512 ; 599.550 ; 972.821 ; -   ; 7.194 ; -   ; -   ; -   ; -   ; -   ; -   ; 1.755.187 ; 892.496 ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 871 ; RAUL CAMPANELLA ; 15.717 ; -   ; 15.717 ; -   ; 15.717 ; -   ; 154 ; -   ; -   ; -   ; -   ; -   ; -   ; 15.717 ; -   ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 3.311 ; IVONNE LIMA ; 95.839 ; 95.839 ; 50.839 ; -   ; -   ; 45.000 ; 125 ; -   ; -   ; -   ; 10.000 ; 35.000 ; -   ; 95.839 ; 95.839 ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 5.271 ; CARLOS SÁNCHEZ ;                          -   ; -   ; 7.000 ; -   ; -   ; -   ; 109 ; -   ; -   ; -   ; -   ; -   ; -   ; 4.600 ; 4.600 ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 7.711 ; GUSTAVO SPERA ; 377.816 ; 20.000 ; 357.816 ; 20.000 ; 357.816 ; -   ; 3.508 ; -   ; -   ; -   ; -   ; -   ; -   ; 377.816 ; 20.000 ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 8.713 ; VICTOR DA COSTA ; 167.034 ; 37.800 ; 129.234 ; -   ; 129.234 ; 31.800 ; 1.267 ; -   ; -   ; -   ; 2.000 ; 29.800 ; -   ; 167.020 ; 37.786 ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 2.199.738 ; PABLO GUARINO ; 760.205 ; 545.205 ; 651.000 ; 81.200 ; 215.000 ; 28.005 ; 6.398 ; -   ; -   ; -   ; -   ; -   ; 28.005 ; 665.845 ; 450.845 ;;
 FRENTE AMPLIO ; CERRO LARGO ; REPRESENTANTES ; 6.091.001 ; LUIS ALFREDO FRATTI ; 1.307.123 ; 1.307.123 ; 1.307.123 ; -   ; -   ; -   ; 8.840 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1.307.123 ; 1.307.123 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 609 ; MERCEDES SANTALLA ; 1.721.934 ; 1.721.934 ; 1.721.934 ; -   ; -   ; -   ; 14.691 ; 1 ; -   ; -   ; -   ; -   ; -   ; 1.721.934 ; 1.721.934 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 871 ; RAUL CAMPANELLA ; 13.165 ; 13.165 ; 13.165 ; -   ; -   ; -   ; 129 ; -   ; -   ; -   ; -   ; -   ; -   ; 13.165 ; 13.165 ;;
 FRENTE AMPLIO ; COLONIA ; REPRESENTANTES ; 959 ; ARILDO SANCHEZ ; 59.700 ; 59.700 ; 40.000 ; 19.700 ; -   ; -   ; 393 ; -   ; -   ; -   ; -   ; -   ; -   ; 27.000 ; 27.000 ;;
