PARTIDO;DEPARTAMENTO;NIVEL;HOJA;CANDIDATO_1;INGRESOS_TOT;INGRESOS_NET;FIN_PUB;FIN_INT;CES_FON;FIN_PRIV;VOTOS;BANCAS;PERSONAS;EMPRESAS;ANONIMA;CANDIDATOS;OTROS;EGRESOS_TOT;EGRESOS_NET
FRENTE AMPLIO;CERRO LARGO;REPRESENTANTES;2199738;PABLO GUARINO;760205;545205;651000;81200;215000;28005;6398;0;0;0;0;0;28005;665845;450845
FRENTE AMPLIO;CERRO LARGO;REPRESENTANTES;6091001;LUIS ALFREDO FRATTI;1307123;1307123;1307123;0;0;0;8840;1;0;0;0;0;0;1307123;1307123
FRENTE AMPLIO;COLONIA;REPRESENTANTES;609;MERCEDES SANTALLA;1721934;1721934;1721934;0;0;0;14691;1;0;0;0;0;0;1721934;1721934
FRENTE AMPLIO;COLONIA;REPRESENTANTES;871;RAUL CAMPANELLA;13165;13165;13165;0;0;0;129;0;0;0;0;0;0;13165;13165
FRENTE AMPLIO;COLONIA;REPRESENTANTES;959;ARILDO SANCHEZ;59700;59700;40000;19700;0;0;393;0;0;0;0;0;0;27000;27000
FRENTE AMPLIO;COLONIA;REPRESENTANTES;983;MICHAEL CARLOS SKAFAR;3236788;2342418;1559190;1364598;894370;313000;6111;0;0;0;0;300000;13000;1889338,06;1088518,06
FRENTE AMPLIO;COLONIA;REPRESENTANTES;1001;OSCAR ANDRADE;294425;0;294425;0;294425;0;2853;0;0;0;0;0;0;294425;0
FRENTE AMPLIO;COLONIA;REPRESENTANTES;1642;DAMIAN BATISTA;36636;36636;36636;0;0;0;359;0;0;0;0;0;0;0;0
FRENTE AMPLIO;COLONIA;REPRESENTANTES;1968;PABLO DANIEL CABRERA STALLATELLI;47645;17902;47645;0;29743;0;239;0;0;0;0;0;0;42187,35505;12444,8298
FRENTE AMPLIO;COLONIA;REPRESENTANTES;2121;WILLIAM DANIEL GEYMONAT PEREZ;1092506;384530;707976;335750;707976;48780;6937;0;0;48780;0;0;0;1081142;373166
FRENTE AMPLIO;COLONIA;REPRESENTANTES;800440;ANTONIO LONGANO;88770;22000;66770;0;66770;12000;647;0;0;0;0;12000;0;88650;21880
FRENTE AMPLIO;COLONIA;REPRESENTANTES;3293311;LUIS PURTSCHER;184914;184914;184914;0;0;0;1601;0;0;0;0;0;0;31487;31487
FRENTE AMPLIO;COLONIA;REPRESENTANTES;7117705;LUIS MENORET;20000;20000;0;20000;0;0;5476;0;0;0;0;0;0;20000;20000
FRENTE AMPLIO;DURAZNO;REPRESENTANTES;711;MARGARETH ALONSO;20000;20000;0;20000;0;0;2603;0;0;0;0;0;0;20000;20000
FRENTE AMPLIO;DURAZNO;REPRESENTANTES;871;RAUL CAMPANELLA;9491;0;9491;0;9491;0;93;0;0;0;0;0;0;9491;0
FRENTE AMPLIO;DURAZNO;REPRESENTANTES;1971;RAUL MARIO LICANDRO CHIESA;164194;117084;114194;0;47110;50000;1119;0;0;0;0;50000;0;162898;115788
FRENTE AMPLIO;DURAZNO;REPRESENTANTES;7373;JUAN CARLOS GÓMEZ BOTTERO;14419;0;14419;0;14419;0;139;0;0;0;0;0;0;14419;0
FRENTE AMPLIO;DURAZNO;REPRESENTANTES;9393;EDUARDO MÉNDEZ CAMARÁN;17000;0;17000;0;17000;0;172;0;0;0;0;0;0;17000;0
FRENTE AMPLIO;DURAZNO;REPRESENTANTES;212190;MARIA ARGUELLO;1408317;435704;972612;435705;972613;0;3812;0;0;0;0;0;0;898446,15;441318,15
FRENTE AMPLIO;DURAZNO;REPRESENTANTES;6091001;MARTIN TIERNO;1176143;1176143;1176143;0;0;0;8407;1;0;0;0;0;0;1176143;1176143
FRENTE AMPLIO;FLORES;REPRESENTANTES;1642;LUCIANA OHOLEGUY;15614;15614;15614;0;0;0;153;0;0;0;0;0;0;0;0
FRENTE AMPLIO;FLORES;REPRESENTANTES;1968;PABLO DANIEL CABRERA STELLATELLI;15574;3677;15574;0;11897;0;56;0;0;0;0;0;0;16910,69949;5013,689494
FRENTE AMPLIO;FLORES;REPRESENTANTES;3311;RUBEN MONTAÑO;30000;24864;12450;37000;5136;0;122;0;0;0;0;0;0;37338;32202
FRENTE AMPLIO;FLORES;REPRESENTANTES;7373;RAQUEL SUSANA UMPIÉRREZ LEZUE;38151;0;38151;0;38151;0;367;0;0;0;0;0;0;38151;0
FRENTE AMPLIO;FLORES;REPRESENTANTES;90810;JUAN FEDERICO RUIZ;1408317;855673;552644;484956;552644;0;2166;1;0;0;0;0;0;462360,57;202617,57
FRENTE AMPLIO;FLORES;REPRESENTANTES;775005;CARLOS ROMERO;70230;70230;69230;0;0;0;666;0;0;0;0;0;0;76320;76320
FRENTE AMPLIO;FLORES;REPRESENTANTES;609772121;GUZMAN PEDREIRA;551244;551244;551244;0;0;0;1733;0;0;0;0;0;0;551244;551244
FRENTE AMPLIO;FLORES;REPRESENTANTES;7111071001;ATANASILDO MODERNELL;20000;20000;                         -  ;20000;0;0;1514;0;0;0;0;0;0;20000;20000
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;800;EDGARDO FERREIRA;81923;33500;48423;0;48423;18900;468;0;0;0;0;18900;0;81895;33472
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;871;RAUL CAMPANELLA;13370;0;13370;0;13370;0;131;0;0;0;0;0;0;13370;0
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;1968;PABLO DANIEL CABRERA STELLATELLI;19181;7284;19181;0;11897;0;97;0;0;0;0;0;0;16910,69949;5013,689494
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;3311;ARIEL PISANO SANCHEZ;37000;37000;37000;0;0;0;1336;0;0;0;0;0;0;32225;32225
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;7373;MARIA JACQUELINE DÁRDANO ROSSINI;63321;0;63321;0;63321;0;612;0;0;0;0;0;0;63320,92;0
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;9393;EDUARDO MENDEZ CAMARAN;10200;0;10200;0;10200;0;150;0;0;0;0;0;0;10200;0
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;902121;ALEJANDRO RAÚL ECHEVERRÍA DE LEÓN ;979711;615262;364449;434125;364449;181137;3571;0;33296;0;0;147841;0;961644;961644
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;6091001;CARLOS RODRIGUEZ;967043;967043;967043;0;0;0;7388;1;0;0;0;0;0;967043;967043
FRENTE AMPLIO;FLORIDA;REPRESENTANTES;7117705103;JUAN GIACHETO;20000;20000;                         -  ;20000;0;0;6952;0;0;0;0;0;0;20000;20000
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;711;PABLO MAZZONI;94000;94000;                         -  ;0;0;94000;3068;0;74000;15000;0;0;5000;257000;257000
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;871;RAUL CAMPANELLA;9287;0;9287;0;9287;0;91;0;0;0;0;0;0;9287;0
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;1001;JULIAN MAZONI;187704;0;187704;0;187704;0;1814;0;0;0;0;0;0;187704;0
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;1968;PABLO DANIEL CABRERA STELLATELLI;17861;5964;17861;0;11897;0;82;0;0;0;0;0;0;16910,69949;5013,689494
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;2121;ERNESTO CESAR ESTRADA;290010;290010;260000;0;0;30010;3774;0;0;0;0;30010;0;290002;290002
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;3041;GONZALO OLIVERA ;66754;43630;43630;0;23124;0;172;0;0;0;0;0;0;26624;3500
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;3311;EMILIA ALMEIDA;60985;34917;58985;0;26068;2000;578;0;0;0;2000;0;0;54390;28322
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;5271;CARLOS SÁNCHEZ;6000;6000;6000;0;0;0;46;0;0;0;0;0;0;700;700
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;7373;HEBERT CLAVIJO QUIRQUE ;108027;0;108027;0;108027;0;1044;0;0;0;0;0;0;108027;0
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;90609;JAVIER ERNESTO UMPIERREZ;1819372;537780;1281593;524904;1281592;12875;5023;1;0;0;12875;0;0;1170511,91;568163,91
FRENTE AMPLIO;LAVALLEJA;REPRESENTANTES;1813800;MARIO DIAZ;82788;82788;30788;10000;0;42000;514;0;0;0;0;42000;0;75373;75373
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;90;LEONARDO PEREIRA;1385229;913211;472018;776502;472018;136709;1850;0;0;0;0;0;136709;1186006,66;964158,66
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;329;GABRIELA MIRAVALLE;121597;121597;121597;0;0;0;1023;0;0;0;0;0;0;20991;20991
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;609;LUIS HUELMO;1332446;1332446;1332446;0;0;0;8708;0;0;0;0;0;0;1332446;1332446
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;711;VICTOR MADEIRO;20000;227000;247000;20000;247000;0;2320;0;0;0;0;0;0;20000;-227000
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;871;RAUL CAMPANELLA;8369;0;8369;0;8369;0;82;0;0;0;0;0;0;8369;0
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;939;JUAN JOSÉ RODRÍGUEZ;130207;117745;30207;0;12462;100000;296;0;100000;0;0;0;0;112862;100400
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;959;JULIO LUGO;73700;73700;20400;37700;0;0;200;0;0;0;0;0;0;46678;46678
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;1001;OSCAR ANDRADE;258902;0;258902;0;258902;0;2504;0;0;0;0;0;0;258902;0
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;1642;EMILIA ALMEIDA;66945;66945;39595;0;0;27350;388;0;0;0;27350;0;0;65939;65939
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;1813;DR. DARÍO PÉREZ;3994044;3994044;739860;0;0;2906184;12540;1;0;396000;0;1310184;1200000;3338008;3338008
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;2121;HORACIO DIAZ LOPEZ ;1119996;651958;468038;201362;468038;450596;4586;0;162594;239545;0;48457;0;1119996;651958
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;3011;FRANCISCO WALTER VENTURINO;96298;96298;20298;0;0;76000;199;0;0;0;0;76000;0;75399,23;75399,23
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;3311;BEATRIZ JAURENA;91884;91884;85844;0;0;6000;842;0;0;0;6000;0;0;90090;90090
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;5271;CÉSAR SALVADOR VIAL CLAVIJO;10000;10000;10000;0;0;0;110;0;0;0;0;0;0;0;0
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;7152;ROSA PIAZZOLI;59134;59134;22134;0;0;32000;217;0;27000;0;5000;0;0;36085;36085
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;7373;SILVANA CRISTINA AMOROSO PEREIRA;18404;0;18404;0;18404;0;178;0;0;0;0;0;0;18404;0
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;9393;FLAVIO MAFFONI;13000;0;13000;0;13000;0;131;0;0;0;0;0;0;13000;0
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;997381305;OSCAR DE LOS SANTOS;3162400;2789900;904000;600000;372500;1658400;8859;1;0;432000;57600;0;1168800;3236943;2864443
FRENTE AMPLIO;MALDONADO;REPRESENTANTES;7750052510;SERGIO DUCLOSSON;200050;200050;109050;0;0;90000;1055;0;0;0;0;50000;40000;215680;215680
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;90;GONZALO CIVILA ;21171356;7312906;13858450;7312906;13858450;0;54316;3;0;0;0;0;0;13829948,97;7316477,97
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;329;MACARENA GELMAN;3030538;3030538;2189225;0;0;841313;18648;1;270740;0;41816;528757;0;4860225,64;4860225,64
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;609;ALEJANDRO SANCHEZ;21906011;21906011;12058728;0;0;9847283;168533;9;0;0;0;0;9847283;21906011;21906011
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;611;DIEGO OLIVERA;820479;378964;833048;171947;441515;257000;3265;0;0;0;20000;227000;10000;808946,8;367431,31
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;642;JUAN PABLO OLIVERAS GOYENI;340643;200113;340643;0;140530;0;3338;0;0;0;0;0;0;167610;27080
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;711;FELIPE CARBALLO;20000;20000;                         -  ;20000;0;0;61245;3;0;0;0;0;0;20000;20000
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;764;PABLO ALVAREZ;209900;209900;121440;0;0;88460;2003;0;0;0;0;0;88460;203528,55;203528,55
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;871;RAUL CAMPANELLA;56540;0;56540;0;56540;0;554;0;0;0;0;0;0;56540;0
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;890;CARLOS GAMOU;694924;694924;154924;0;0;540000;128;0;0;0;0;540000;0;815597;815597
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;906;ENRIQUE SARAVIA;2354706;2354706;672255;0;0;1153450;6507;0;500000;373450;280000;0;0;3065000;3065000
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;959;VICTOR FERNANDEZ;767018;767018;489018;278000;0;0;1272;0;0;0;0;0;0;740018;740018
FRENTE AMPLIO;MONTEVIDEO;REPRESENTANTES;1001;OSCAR ANDRADE;2733120;0;2733120;0;2733120;0;26484;1;0;0;0;0;0;2733120;0
